fold,c_index,coef_til,hr_til,n_train,n_test,events_test
1,1.0,-2.8937001633023565,0.05537095153303833,18,10,1
2,1.0,-1.6663528598116506,0.18893488259718857,19,9,1
3,0.875,-1.9770852949667037,0.13847225546602868,19,9,1
