epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
1,0.13632180390592952,0.10988293140989673,35.17243230893062,29.62003584469066,36.9217825553523,33.14859496968439,-0.4655893569246399,-0.09026567001802288
2,0.11588455419114325,0.10088517507949077,32.20043720282041,27.946986934717962,34.04182036471722,31.7624274464158,-0.24586944043819892,-0.0009893549506343469
3,0.10225072031563076,0.09744564675630125,29.695589657930228,27.05254669750438,31.976666581236014,31.216286202727385,-0.09929273837620656,0.033137859992515506
4,0.09483137731664242,0.09789883803494055,27.799055526806757,26.656192288679236,30.79470363957035,31.288790269060407,-0.01952772340147657,0.028641306729628724
5,0.09185118164140424,0.09946443700241883,26.76362634255336,26.43983812191907,30.30695976471432,31.537983846575596,0.01251222733023305,0.0131072926978969
6,0.08981723188055464,0.10164764443427832,25.82678052645463,26.30950330986696,29.969523320517357,31.882228746404298,0.034379109905173344,-0.008554644636234787
7,0.08892759529228966,0.10246297712643247,25.447907522091498,26.295048569931705,29.82073040110283,32.009838993332714,0.04394355202508071,-0.01664438492654674
8,0.08816362459015531,0.10364392310079626,24.978984714471377,26.248422836556156,29.692360590763535,32.193776981360884,0.05215694095948009,-0.02836183217667121
9,0.08759757226994574,0.1049239320187446,24.5468619291599,26.220866294468152,29.596887434161037,32.39196473359305,0.058242552206518416,-0.0410621781109457
10,0.08676344541017897,0.103045886827578,24.702641258789942,26.089244162335117,29.455635347345183,32.100762337050476,0.06721023649829538,-0.022428105939924503
11,0.0860676937698512,0.10330764267949716,24.43248540713237,26.005326169378616,29.33729658752626,32.14150714978578,0.07469019371884034,-0.02502524550232499
12,0.0853799890450878,0.10316312371287495,24.269141537409563,25.943630628726062,29.219854602555163,32.119017315544546,0.08208369759727985,-0.023591300128390946
13,0.0847956776139571,0.10406872808166287,23.906178663327143,25.890074277625363,29.11969766834189,32.25968488559301,0.08836559871765615,-0.032576718224438306
14,0.08388873183195336,0.10266113245640607,23.91984062103125,25.76681879688712,28.963551820590485,32.04077630415514,0.09811613105615091,-0.018610495567586094
15,0.08292251630751148,0.10068740116377525,24.022158962946673,25.618352392140558,28.796270262385917,31.73127934964873,0.10850386682457547,0.0009729399910277658
16,0.08213838922064706,0.10086991554400061,23.739371030147257,25.529759904917547,28.659796036119136,31.76002542546609,0.11693398206792105,-0.0008379618312459591
17,0.08119959497752671,0.09945672514903195,23.729883277416228,25.414864326224606,28.495543246169305,31.536760208444242,0.12702689540494327,0.01318387185573644
18,0.08040654532221826,0.09969093955998473,23.401736828914057,25.30428903243121,28.356047900067065,31.57387280791464,0.13555297386423015,0.010859926040726942
19,0.07922039553746939,0.09738030094269882,23.490465265970965,25.14163908888312,28.146118320837655,31.205818211982912,0.14830519149121024,0.03378620149440448
20,0.07820608444879046,0.09690199061022962,23.260405802726744,25.04168069713256,27.965350967193068,31.12908535721484,0.15921001454883643,0.038532059442833666
21,0.07724516551735668,0.0962736670694807,23.07184183230767,24.96353129428976,27.79301490359063,31.02799928389736,0.1695407963321901,0.04476630709210139
22,0.0758520092468993,0.0935270506888628,23.147969723664797,24.751070625641766,27.541243622781607,30.58219358306287,0.18451857008432004,0.07201842586703633
23,0.0746961833095366,0.09264335051343284,22.945479082144224,24.66200796295615,27.33060296481019,30.43737052593104,0.1969447821297302,0.08078659460300142
24,0.073524167400543,0.09144699179074343,22.81230089389361,24.562985188820782,27.115340581331083,30.240203824551205,0.2095450754511642,0.09265695401426155
25,0.07207710931722361,0.0894143118742196,22.743323281178107,24.373486771303064,26.847180571089055,29.902227028059762,0.22510233966056115,0.11282528452063567
26,0.07127038206224545,0.09068781762000393,22.164103614366972,24.35043353543562,26.696513621310302,30.11441860779166,0.23377541880978991,0.10018950754744993
27,0.0700713269739376,0.08964925114174976,21.931272260042338,24.20334022886613,26.47098976617039,29.94148578602414,0.2466663929207712,0.11049420455047154
28,0.06847969291176503,0.08670564064317766,21.932767098683577,23.976119434132297,26.16862554463002,29.44582185705277,0.2637779720135147,0.1397009414701964
29,0.06680108338701897,0.08349934543537743,21.985657119750975,23.780805356362286,25.845905904318112,28.89625426893486,0.28182464170372246,0.1715139746147678
30,0.0655051997773206,0.08226685946368996,21.736382356973795,23.623087784823248,25.59398395741994,28.682200690189713,0.29575662727359686,0.1837427955884906
31,0.06409961622512828,0.08139131259282723,21.371169866048373,23.467258190407474,25.317902299735973,28.52916403849505,0.3108679932463211,0.1924299961804552
32,0.06272956122321864,0.08039588319575962,21.03155550681628,23.31709769894095,25.045870292467736,28.354168854833688,0.32559739955744926,0.20230672699353291
33,0.0614064144821336,0.07961802888552055,20.67226665157538,23.195739574292126,24.78031783069161,28.216667532335048,0.33982248806500603,0.21002466990707713
34,0.05977982187983938,0.0770782825865728,20.47596806150216,22.940280553172617,24.449912783204113,27.762976552510047,0.35730989939548685,0.23522419549229456
35,0.05823337407603573,0.07521161776693429,20.21082097154397,22.71440515798681,24.131592376746568,27.424738186352695,0.37393569468125776,0.2537453206080007
36,0.05641818979862504,0.0723567419575856,20.00981300702462,22.412276488893173,23.752513917185,26.899209352677072,0.3934506461371039,0.28207162756907933
37,0.05477162235094091,0.06948533867869307,19.857591684964987,22.120996391071994,23.403338020103522,26.360072829096907,0.4111528295004082,0.3105618703214209
38,0.053067312740649165,0.06632100690758842,19.6816030222636,21.76443106286666,23.03634386321311,25.752866057438197,0.42947577828805383,0.3419585888014217
39,0.051781865812909715,0.06843059082679889,18.800555590024363,21.78111028320649,22.755629334805995,26.159242068830874,0.44329556148794047,0.3210271628285277
40,0.049909552787161936,0.06472026740255601,18.656303042173384,21.3779159784317,22.340446291448213,25.440178894794723,0.46342470703535443,0.3578412437410068
41,0.0482132611115678,0.06129920466200394,18.54419875236658,21.004831047619092,21.957518645783843,24.758676675138567,0.4816614584647362,0.39178525617650073
42,0.04664961570230774,0.056899534195990246,18.57001398251607,20.530651117072384,21.59852242167296,23.853624039277285,0.4984721376946676,0.4354390607880072
43,0.04508006028907123,0.057826056638184714,17.746574920874377,20.463626132291907,21.23206554813262,24.047049502467427,0.5153463648202221,0.42624605882953814
44,0.04369337856465231,0.05747211573864607,17.189255341658225,20.24156052575392,20.902961368769148,23.973343102275724,0.5302545114350756,0.4297578848651231
45,0.04183037940971329,0.053630042574642336,17.004405955626414,19.78116171500262,20.452476638981633,23.158161627980437,0.5502835305513654,0.467879184102601
46,0.0408778448522823,0.05412958367892048,16.48747750520706,19.662599004366818,20.218270397925863,23.26576601790209,0.5605241822510788,0.4629226972653109
47,0.03911846799965133,0.05050241708865061,16.28986513706354,19.153843646540363,19.778389506652506,22.472743230291826,0.5794391586393538,0.49891169561867943
48,0.03776296256527915,0.047068606500568634,16.190669890550467,18.703580737113953,19.43269487354021,21.69530132673113,0.5940121421005582,0.5329821718643726
49,0.036615822165241785,0.046497201683985835,15.755133643517127,18.479696312371424,19.135261455957533,21.563210612627348,0.6063449898460913,0.5386516874165288
50,0.035393103003018324,0.04375658990979633,15.584850819982016,18.028340490425336,18.81305496141033,20.918076488968563,0.6194903892214328,0.5658442268839219
51,0.03443880233846637,0.044367947396548355,15.015847382407921,17.91454286435071,18.55769462962981,21.063700804013568,0.629750031652627,0.5597783051425498
52,0.03339160622311353,0.041156654574853534,14.995109024873146,17.446138843017465,18.2733704908241,20.287103622000135,0.6410083880526649,0.591640952711011
53,0.03272866847675267,0.04338703771560069,14.333923894396195,17.490008256014654,18.09106665685648,20.82955604129597,0.648135599674842,0.569510945138207
54,0.03165654881545772,0.03895059549797546,14.435438994948681,16.880480026497562,17.792287563903283,19.73590585505448,0.6596619076296524,0.6135296178914518
55,0.03087628114706149,0.03763140705140198,14.252508293894621,16.583232013618243,17.571648201204304,19.398816897878767,0.6680505285546353,0.6266186904115894
56,0.0302583715390693,0.038529551327776385,13.789063170323004,16.53929852562792,17.394933719581505,19.628946622894066,0.6746936517123718,0.617707238450377
57,0.02952380791718427,0.03659209739142919,13.735550418266882,16.1686751351637,17.182493613105134,19.129061569376525,0.6825909068614786,0.636930792749942
58,0.028900373049467677,0.03482983319554478,13.675203621158232,15.811436931876575,17.000109785450377,18.662753237250655,0.689293431884791,0.6544160896212677
59,0.028319352686814736,0.03476944606860771,13.380603056458327,15.673921521972208,16.82835503064266,18.64656764950666,0.6955399505219926,0.6550152566481113
60,0.027735061003926812,0.03377198899740025,13.21104704966912,15.38426183777697,16.653846878791114,18.377157228363224,0.7018216435859476,0.6649120975279328
61,0.027225989219494713,0.03311732102541581,13.060022714963326,15.190974449410158,16.500299977699644,18.198165790304934,0.7072946492133186,0.6714077460089203
62,0.026858654532934057,0.034678477163919634,12.653705513018828,15.231988975230385,16.388610400984593,18.622158803071862,0.7112438490683248,0.6559178536660385
63,0.026464827312310472,0.03477736340616556,12.449506380007817,15.103828864939073,16.26801395502637,18.648690659705807,0.7154778678650717,0.6549366955062856
64,0.025895680657387087,0.03309313513283782,12.389637039028681,14.769697103430243,16.092135050596557,18.191519301446363,0.7215967381464576,0.6716477246917814
65,0.025417964029411384,0.031485797234756106,12.35254456710357,14.438186938271803,15.943012427758635,17.744238375594282,0.7267326462377031,0.6875958364811178
66,0.02499179054960118,0.03065569476251874,12.246997990058018,14.192790978095111,15.80879218037054,17.50876825988297,0.7313144177782189,0.69583217232216
67,0.02460221661601561,0.0299914219067432,12.133141011343552,14.026300917653476,15.685093869958857,17.318032322580134,0.7355027102524392,0.702423125007746
68,0.02423478565678815,0.028921047914670508,12.086202075618964,13.734097386107726,15.567525695491549,17.00619015227783,0.7394529475215779,0.7130434459086767
69,0.023855688860645003,0.02943787589388461,11.829712094939673,13.659963451764163,15.445287005485929,17.15747003860597,0.7435285969940226,0.7079154500006309
70,0.023594995153745493,0.03070757303537582,11.563637419159596,13.731826536795673,15.360662564819828,17.523577034325353,0.746331302026259,0.6953174293592775
71,0.02329987105930251,0.03059749134049258,11.44010026787336,13.635161257842007,15.264295456959328,17.492139189765158,0.7495041649463952,0.6964096688211621
72,0.02320498381290795,0.03183203367413679,11.22187830656767,13.637456737896976,15.233182125559518,17.841534619753926,0.7505242994048377,0.6841604581903502
73,0.02259767909610953,0.029069680905462626,11.27766951838365,13.15224271662095,15.032524515298157,17.04983379118442,0.757053401142287,0.7115687007356505
74,0.022222203417522207,0.02758106407846379,11.254083954714812,12.823021720437442,14.907113641342448,16.60754843623101,0.7610901220456712,0.7263388532878484
75,0.02208212124826857,0.029363115806036684,10.994782489423569,12.966706298729953,14.860054278114642,17.135669858037893,0.7625961413740282,0.7086572202809072
76,0.021772099232783566,0.02886073918403674,10.901389622115172,12.816087202114218,14.755371766936728,16.988449422741745,0.7659291704239439,0.7136418354618165
77,0.021372593532410413,0.02596603953610183,10.99719622020538,12.317588646622266,14.619368448542218,16.1139818944105,0.7702242431456936,0.7423632395695074
78,0.021178182042184253,0.027973324276150808,10.730370528193621,12.4756257779458,14.552725580648852,16.725228415797307,0.7723143489188327,0.7224468234043617
79,0.0208350888341766,0.025766090511537828,10.765827563863533,12.09057651197209,14.434364899142226,16.051819960487375,0.7760029277134607,0.7443471450932558
80,0.02060535693031992,0.025220526348943274,10.703197553524603,11.964528904241675,14.354566157682912,15.880972415826891,0.7784727662557918,0.7497602659797384
81,0.02034161129921673,0.02571437971367713,10.55124103312309,11.930999845266342,14.262402018387718,16.03570453067572,0.7813082853370188,0.7448602193126869
82,0.020103336112935303,0.02563229118780274,10.461030589617216,11.854004712665782,14.17862361381947,16.010088539094788,0.783869962056013,0.7456747065486659
83,0.019932379237409,0.026956483872555403,10.27093471105282,11.849753297427121,14.118207908013002,16.418430666237594,0.7857079160846359,0.732535976442295
84,0.019618397935440814,0.025719853183973636,10.245034783562788,11.655375301837921,14.00656927930135,16.03741105146818,0.7890835128789949,0.7448059124367259
85,0.01937263799952164,0.024411308661322382,10.244210643321276,11.491489832892137,13.918562408656856,15.624119396573748,0.7917256709135613,0.7577893778988042
86,0.019251835039428372,0.02669538201579973,9.99561636963716,11.532654203036252,13.875098306323922,16.338722116962362,0.7930244145964878,0.7351266526589554
87,0.018913341331608536,0.023727393661187413,10.085214691723769,11.269545232548433,13.752578703215116,15.403699514123987,0.796663539260998,0.7645752254935578
88,0.018699408907817246,0.02462833839971983,9.935026276054291,11.25089480771738,13.674578336451967,15.693419042579018,0.7989635211695836,0.7556359976650917
89,0.018477769056688177,0.02426688205656212,9.863968111631962,11.145174443721771,13.593295879409679,15.577831706998088,0.8013463622958414,0.7592223882999987
90,0.018270339515419648,0.023368011268115985,9.837133639191206,11.017756323604022,13.51678188056401,15.286599657629873,0.8035764330655838,0.7681410467683737
91,0.018066968612940243,0.024255436378285488,9.715642364953572,11.02399920891313,13.44134245192192,15.574157380253878,0.8057628603811036,0.7593359588274768
92,0.017822880471843824,0.024068259840084788,9.631165375331273,10.96404961102149,13.350236132254105,15.51394922212908,0.808387041392358,0.7611931290043428
93,0.017739405328686293,0.025501423206632727,9.478108274363555,11.103626640403972,13.31893596553078,15.969165681342755,0.8092844767306702,0.746973189860567
94,0.01744761109483444,0.02312798676730916,9.528939473628999,10.735977959983488,13.208940660109267,15.20788886655346,0.8124215424792014,0.7705225858767454
