epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
19,948.9229125976562,1352.834228515625,22.11757,28.570892,30.804592,36.780895,-0.020182490348815918,-0.342290997505188
20,922.6484375,1297.3839111328125,22.442299,28.310966,30.37513,36.019215,0.008064985275268555,-0.28727269172668457
21,903.3865966796875,1254.061279296875,22.78377,28.08055,30.05639,35.412727,0.02877342700958252,-0.24428772926330566
22,888.1737060546875,1219.36669921875,23.07613,27.936535,29.802242,34.91943,0.045128822326660156,-0.20986366271972656
23,875.2911987304688,1185.593017578125,23.404732,27.861416,29.58532,34.43244,0.05897867679595947,-0.1763533353805542
24,864.5927734375,1152.105712890625,23.778597,27.784132,29.40396,33.94268,0.07048046588897705,-0.1431267261505127
25,857.6954345703125,1134.9923095703125,23.930244,27.7302,29.286436,33.689644,0.07789582014083862,-0.12614667415618896
26,851.3095703125,1130.1461181640625,23.861149,27.697206,29.177212,33.617645,0.08476114273071289,-0.1213383674621582
27,844.8875122070312,1129.6182861328125,23.717533,27.677685,29.06695,33.60979,0.09166544675827026,-0.12081456184387207
28,838.5773315429688,1127.0975341796875,23.605232,27.644697,28.9582,33.572273,0.09844952821731567,-0.11831355094909668
29,831.5711669921875,1109.543212890625,23.779934,27.545584,28.836975,33.309807,0.10598188638687134,-0.10089600086212158
30,825.3417358398438,1105.966552734375,23.662449,27.48725,28.728762,33.256077,0.11267900466918945,-0.09734725952148438
31,820.0048217773438,1110.48828125,23.37007,27.454086,28.635727,33.32399,0.11841672658920288,-0.10183382034301758
32,814.8590698242188,1115.4354248046875,23.078915,27.419044,28.545738,33.398136,0.12394887208938599,-0.10674238204956055
33,809.3457641601562,1114.978515625,22.913458,27.37886,28.449001,33.391293,0.1298762559890747,-0.10628902912139893
34,802.9119873046875,1106.582275390625,22.916153,27.333645,28.335701,33.26533,0.13679319620132446,-0.09795820713043213
35,797.3826904296875,1105.641845703125,22.806818,27.326593,28.237965,33.251194,0.14273768663406372,-0.09702515602111816
36,789.9194946289062,1087.36376953125,23.05134,27.263697,28.105505,32.9752,0.1507614254951477,-0.07888936996459961
37,783.9585571289062,1064.1380615234375,23.414352,27.14638,27.999258,32.621128,0.15716999769210815,-0.055844664573669434
38,778.3504638671875,1054.5770263671875,23.48161,27.08533,27.898933,32.47425,0.16319912672042847,-0.04635810852050781
39,774.3196411132812,1037.6097412109375,23.784945,27.001762,27.8266,32.21195,0.16753268241882324,-0.029523134231567383
40,770.828125,1026.99951171875,23.94883,26.934853,27.763792,32.046837,0.17128640413284302,-0.01899576187133789
41,763.3062133789062,1024.2633056640625,23.785189,26.88527,27.627996,32.004112,0.17937326431274414,-0.016280770301818848
42,753.3709106445312,1026.71044921875,23.420332,26.858036,27.447603,32.042324,0.1900545358657837,-0.01870882511138916
43,747.0401000976562,1019.3561401367188,23.384115,26.786465,27.332035,31.927359,0.19686073064804077,-0.01141202449798584
44,740.1367797851562,1016.4473876953125,23.226854,26.73655,27.205456,31.881773,0.20428240299224854,-0.008525848388671875
45,736.071044921875,1007.9878540039062,23.309574,26.674526,27.13063,31.748823,0.2086535096168518,-0.00013208389282226562
46,732.6485595703125,1000.7173461914062,23.395126,26.626701,27.067482,31.634115,0.21233296394348145,0.007081806659698486
47,725.3448486328125,1000.0177001953125,23.19089,26.59913,26.932226,31.623055,0.22018533945083618,0.007776021957397461
48,715.7451782226562,1005.3414306640625,22.759954,26.588766,26.753414,31.707119,0.23050576448440552,0.002493619918823242
49,709.0741577148438,999.52001953125,22.651394,26.49553,26.628447,31.615187,0.23767775297164917,0.00826960802078247
50,700.6158447265625,999.9378662109375,22.33979,26.43549,26.469149,31.621794,0.24677133560180664,0.007855117321014404
51,692.194580078125,1000.4898681640625,22.025492,26.380156,26.309591,31.63052,0.25582486391067505,0.007307469844818115
52,683.4174194335938,993.4315185546875,21.882984,26.283188,26.142254,31.51875,0.265261173248291,0.014310717582702637
53,675.715087890625,993.4349975585938,21.57715,26.218868,25.99452,31.518803,0.2735419273376465,0.01430743932723999
54,668.9056396484375,996.4765625,21.222734,26.17309,25.86321,31.567017,0.2808627486228943,0.011289417743682861
