fold,c_index,coef_til,hr_til,n_train,n_test,events_test
1,0.0,-0.017879401054159035,0.9822794870860633,18,10,1
2,1.0,-0.0069913283666086104,0.9930330541144894,19,9,1
3,0.75,-0.00793751645589628,0.9920939024435461,19,9,1
