epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
30,874.6854858398438,1211.1270751953125,22.953856,27.910706,29.575083,34.80125,0.059629857540130615,-0.20168817043304443
31,868.0011596679688,1199.8895263671875,22.994028,27.87177,29.461859,34.639423,0.06681621074676514,-0.1905381679534912
32,860.4755249023438,1185.3106689453125,23.074577,27.82194,29.333862,34.42834,0.07490688562393188,-0.1760728359222412
33,850.1572875976562,1161.500732421875,23.24377,27.736923,29.157457,34.0808,0.08599996566772461,-0.1524486541748047
34,843.4276123046875,1152.916015625,23.231474,27.701668,29.041826,33.954617,0.09323495626449585,-0.14393079280853271
35,837.745849609375,1151.33154296875,23.11701,27.684494,28.94384,33.93128,0.09934347867965698,-0.14235877990722656
36,834.2727661132812,1159.614990234375,22.872253,27.691961,28.883781,34.053123,0.10307729244232178,-0.15057766437530518
37,830.46875,1164.658447265625,22.677954,27.690489,28.817854,34.127094,0.10716700553894043,-0.15558171272277832
38,826.0049438476562,1166.7401123046875,22.508009,27.670668,28.740301,34.157578,0.111966073513031,-0.15764713287353516
39,818.365234375,1155.2276611328125,22.5272,27.63207,28.607084,33.988644,0.12017947435379028,-0.14622461795806885
40,811.7604370117188,1147.65966796875,22.491196,27.59388,28.491411,33.877125,0.12728017568588257,-0.13871550559997559
41,804.46728515625,1133.9459228515625,22.58993,27.554728,28.363132,33.674114,0.13512104749679565,-0.1251084804534912
42,798.5137329101562,1128.283447265625,22.553698,27.534142,28.257984,33.58993,0.14152175188064575,-0.11949026584625244
43,792.56982421875,1122.62548828125,22.51439,27.505688,28.152617,33.505604,0.14791196584701538,-0.11387646198272705
44,785.835205078125,1117.935791015625,22.420168,27.46806,28.032755,33.435547,0.15515220165252686,-0.1092233657836914
45,776.4407348632812,1099.739013671875,22.574463,27.384872,27.864685,33.16231,0.16525232791900635,-0.09116816520690918
46,768.9581909179688,1088.2625732421875,22.62438,27.32068,27.730097,32.988827,0.17329668998718262,-0.079781174659729
47,761.9814453125,1081.633056640625,22.569729,27.269983,27.604012,32.88819,0.18079739809036255,-0.073203444480896
48,755.8478393554688,1065.681884765625,22.782503,27.20229,27.492687,32.644783,0.18739163875579834,-0.05737650394439697
49,750.771240234375,1052.2928466796875,22.971882,27.143057,27.400206,32.439064,0.19284939765930176,-0.04409182071685791
50,743.0814819335938,1050.24951171875,22.777597,27.09692,27.25952,32.40755,0.20111674070358276,-0.04206430912017822
51,734.5903930664062,1054.44091796875,22.39779,27.06598,27.103329,32.472153,0.21024537086486816,-0.04622304439544678
52,726.9114990234375,1059.9560546875,21.998034,27.03688,26.961296,32.556965,0.2185010313987732,-0.05169522762298584
53,721.1881103515625,1072.8699951171875,21.443693,27.023155,26.854946,32.754696,0.22465413808822632,-0.06450855731964111
54,716.8246459960938,1083.845947265625,20.96674,27.000423,26.773582,32.921814,0.2293452024459839,-0.07539904117584229
55,713.00244140625,1092.372314453125,20.576393,26.973831,26.702106,33.051056,0.2334544062614441,-0.08385896682739258
56,708.1177978515625,1096.5556640625,20.285048,26.945202,26.610481,33.11428,0.2387060523033142,-0.08800971508026123
57,702.9754638671875,1096.4517822265625,20.083883,26.902716,26.513683,33.112717,0.24423450231552124,-0.08790671825408936
58,692.3629150390625,1078.147705078125,20.222641,26.845636,26.31279,32.83516,0.25564396381378174,-0.06974518299102783
59,683.9647216796875,1065.37548828125,20.268217,26.781876,26.15272,32.640087,0.26467281579971313,-0.05707240104675293
60,674.2272338867188,1038.0997314453125,20.662336,26.679276,25.965885,32.21956,0.2751415967941284,-0.03000950813293457
61,667.9132690429688,1022.59375,20.84591,26.605795,25.844019,31.97802,0.281929612159729,-0.014624238014221191
62,661.2628173828125,1012.7496337890625,20.839418,26.525211,25.71503,31.823729,0.28907960653305054,-0.0048569440841674805
63,656.7192993164062,998.1183471679688,21.014128,26.410942,25.626535,31.593012,0.2939642667770386,0.009660422801971436
64,650.331298828125,995.9641723632812,20.844204,26.36447,25.501593,31.5589,0.30083197355270386,0.011797845363616943
65,643.0234985351562,1007.7418212890625,20.2689,26.366861,25.357906,31.74495,0.30868858098983765,0.0001119375228881836
66,637.2787475585938,1017.2403564453125,19.809484,26.37289,25.24438,31.894205,0.3148646950721741,-0.00931251049041748
67,627.925048828125,1000.4525756835938,19.962389,26.299284,25.058432,31.629932,0.3249208331108093,0.007344305515289307
68,619.8609619140625,995.9278564453125,19.790197,26.248098,24.897007,31.558325,0.33359044790267944,0.01183384656906128
69,612.8692016601562,997.5540161132812,19.480972,26.216982,24.756195,31.584076,0.34110724925994873,0.010220527648925781
70,606.1823120117188,981.90869140625,19.659544,26.144089,24.62077,31.33542,0.34829628467559814,0.02574390172958374
71,600.4840087890625,974.0521850585938,19.652052,26.087204,24.504776,31.209808,0.35442250967025757,0.0335390567779541
72,595.3480834960938,964.4217529296875,19.72022,26.025623,24.399755,31.055138,0.3599441647529602,0.043094515800476074
73,587.9221801757812,968.1880493164062,19.341734,26.01276,24.247107,31.11572,0.3679276704788208,0.03935742378234863
74,581.2063598632812,971.6309814453125,18.988249,25.992985,24.108221,31.170996,0.37514781951904297,0.035941362380981445
75,575.3600463867188,975.7141723632812,18.668518,25.970097,23.986662,31.236423,0.38143324851989746,0.031890034675598145
76,569.2332153320312,967.9525756835938,18.646814,25.90538,23.858608,31.111935,0.3880201578140259,0.03959125280380249
77,561.6124267578125,950.5951538085938,18.797615,25.814365,23.698364,30.831724,0.396213173866272,0.05681324005126953
78,557.1492919921875,938.1136474609375,18.941252,25.854128,23.60401,30.628641,0.40101146697998047,0.06919753551483154
79,551.5240478515625,934.0465698242188,18.825335,25.835592,23.484549,30.562174,0.4070591330528259,0.07323288917541504
80,545.3677978515625,931.455322265625,18.686592,25.816757,23.353111,30.519753,0.4136776924133301,0.07580393552780151
81,540.189453125,926.0782470703125,18.634466,25.808266,23.241976,30.431534,0.4192449450492859,0.08113902807235718
82,531.9796752929688,937.7066650390625,18.20606,25.701004,23.064684,30.621996,0.42807120084762573,0.06960135698318481
83,528.3103637695312,953.29150390625,17.857021,25.582508,22.985003,30.87542,0.43201613426208496,0.05413788557052612
84,530.3760375976562,975.081787109375,17.546303,25.593967,23.029894,31.226301,0.4297952651977539,0.032517313957214355
85,529.7931518554688,981.1029663085938,17.433104,25.549261,23.017239,31.322563,0.43042176961898804,0.026543259620666504
86,525.8480224609375,975.7315063476562,17.413696,25.482319,22.931376,31.236702,0.4346632957458496,0.03187280893325806
87,523.5425415039062,976.1577758789062,17.356693,25.43214,22.88105,31.243523,0.43714195489883423,0.03145003318786621
88,521.996826171875,979.1066284179688,17.286316,25.38296,22.84725,31.29068,0.4388037323951721,0.02852398157119751
89,509.089599609375,947.603271484375,17.503801,25.29172,22.563013,30.783165,0.45268023014068604,0.059781789779663086
90,501.9458312988281,924.0012817382812,17.689695,25.40931,22.404146,30.397388,0.46036046743392944,0.08319997787475586
91,498.31414794921875,913.693603515625,17.762865,25.439188,22.32295,30.227365,0.4642648696899414,0.09342718124389648
92,494.9930725097656,910.816162109375,17.744501,25.424223,22.24844,30.179731,0.46783530712127686,0.0962822437286377
93,492.0824279785156,916.2314453125,17.620998,25.366365,22.18293,30.269316,0.47096455097198486,0.09090918302536011
94,489.2806701660156,918.3829345703125,17.539375,25.333672,22.11969,30.304832,0.47397667169570923,0.08877450227737427
95,485.53631591796875,914.5765991210938,17.513435,25.319138,22.03489,30.241968,0.47800225019454956,0.09255105257034302
96,480.7810974121094,895.2730712890625,17.690622,25.402502,21.92672,29.921114,0.4831146001815796,0.11170417070388794
97,478.87908935546875,882.9923095703125,17.828472,25.447962,21.883307,29.715187,0.48515939712524414,0.1238892674446106
98,478.0957336425781,872.7271118164062,17.96789,25.497961,21.8654,29.541956,0.48600155115127563,0.1340743899345398
99,472.6538391113281,873.8458862304688,17.846151,25.481241,21.740604,29.560884,0.4918520450592041,0.1329643726348877
100,468.75091552734375,874.0567626953125,17.777761,25.480497,21.650656,29.564451,0.4960482120513916,0.13275516033172607
101,467.1541442871094,873.8784790039062,17.799274,25.542984,21.613747,29.561436,0.4977648854255676,0.13293200731277466
102,460.8735656738281,890.4173583984375,17.430132,25.413044,21.467966,29.83986,0.5045170783996582,0.11652213335037231
103,459.3970642089844,903.99755859375,17.150377,25.286236,21.43355,30.066551,0.5061044692993164,0.10304778814315796
104,455.8553771972656,897.5269775390625,17.165049,25.266735,21.35077,29.958754,0.5099120140075684,0.10946786403656006
105,453.7925720214844,899.8385620117188,17.05955,25.201754,21.302408,29.997309,0.5121297836303711,0.1071743369102478
106,452.3486328125,904.5789794921875,16.961895,25.16488,21.26849,30.07622,0.5136821269989014,0.10247081518173218
107,449.63916015625,904.578125,16.931255,25.198172,21.204697,30.076206,0.5165950655937195,0.10247159004211426
108,444.84857177734375,889.1395874023438,17.057167,25.294243,21.091433,29.818445,0.5217454433441162,0.11778980493545532
109,442.270263671875,882.27490234375,17.087816,25.304398,21.030222,29.703114,0.5245173573493958,0.12460100650787354
110,439.9081726074219,879.1229858398438,17.067396,25.283379,20.973988,29.650007,0.527056872844696,0.1277284026145935
111,437.4469299316406,876.8331909179688,17.031782,25.249445,20.915234,29.61137,0.52970290184021,0.13000035285949707
112,434.7868347167969,876.5198974609375,16.959963,25.193335,20.851543,29.606077,0.5325627326965332,0.13031131029129028
113,432.1929931640625,872.6092529296875,16.94179,25.161148,20.789251,29.53996,0.5353513956069946,0.1341913938522339
114,430.6756896972656,860.5401611328125,17.073652,25.21656,20.752728,29.334963,0.5369826555252075,0.14616650342941284
115,433.8894958496094,848.66650390625,17.376595,25.330553,20.830015,29.13188,0.5335274934768677,0.1579475998878479
116,432.4363098144531,846.0167846679688,17.39449,25.33174,20.795103,29.086369,0.5350898504257202,0.16057664155960083
